一般的な製品番号,略称,ふりがな,出典,証（表裏・寒熱・虚実）,六病位 ／  虚実,脈,舌,腹,漢方弁証,中医弁証
52,よく苡仁湯,よくいにんとう,明医指掌,表・寒・やや実,少陽病 ／ 虚実中間からやや実証,弦やや緊,乾湿中間で白苔,やや軟,湿痺。四肢や体の痺れ痛み、重だるい、運動障害、軽度の浮腫、冷えなどがあり、時に軽度の熱証を伴う。慢性期の関節痛や筋肉痛に用いる。さらに慢性化したものには桂枝芍薬知母湯。,通陽利水・活血止痙
54,抑肝散,よくかんさん,保嬰撮要,裏・熱・虚,少陽病 ／ 虚実中間,弦やや緊,乾湿中間の白苔,腹力中等度以下、多くは心下痞。心下が筋ばり、特に左腹直筋の上半分が緊張、臍上悸・臍下悸が強い,気血両虚の肝陽化風。イライラ、怒りっぽい、頭痛、めまい、眠りが浅い、頭のふらつき、筋肉の痙攣やひきつけ、手足のふるえなどの肝陽化風に、元気がない、疲れやすい、食が細い、皮膚につやがない、動悸、しびれなどの気血両虚を伴うもの。,平肝熄風・気血双補
83,抑肝散加陳皮半夏,よくかんさんかちんぴはんげ,本朝経験方,裏・熱・虚,少陽病 ／ 虚実中間,弦やや緊,乾湿中間の白苔,腹力中等度以下、多くは心下痞。心下が筋ばり、特に左腹直筋の上半分が緊張、臍上悸・臍下悸が強い,気血両虚の肝陽化風。イライラ、怒りっぽい、頭痛、めまい、眠りが浅い、頭のふらつき、筋肉の痙攣やひきつけ、手足のふるえなどの肝陽化風に、元気がない、疲れやすい、食が細い、皮膚につやがない、動悸、しびれなどの気血両虚を伴うもので、さらに悪心、嘔吐、胃腸虚弱、痰が多い、浮腫などの痰湿の症候を伴うもの。,平肝熄風・気血双補・燥湿去痰・理気和中
43,六君子湯,りっくんしとう,万病回春,裏・寒・虚,太陰病 ／  虚証,軟弱微細大にして無力 滑弱,淡白胖大湿潤して厚い白苔がある,やや軟・軟・軟弱、心下痞、上腹部振水音,脾胃気虚の痰湿（脾虚生痰）。元気がない、疲れやすい、食欲がない、食べると腹が張るなどの脾胃気虚の症候に、悪心、嘔吐、上腹部のつかえ、軟便または水様便、胸苦しい、咳嗽、痰が多い、または浮腫などの痰湿の症候を伴うもの。四君子湯＋二陳湯である。,補気健脾・理気去痰・利水消腫
110,立効散,りっこうさん,衆方規矩,半・中・中,少陽病 ／ 虚実中間,,,,歯痛、頭痛。,止痛
76,竜胆瀉肝湯,りゅうたんしゃかんとう,薛氏十六種（または一貫堂医学）,裏・熱・実,少陽病 ／ 実証,実・緊数・弦滑数,紅舌、白苔または白黄苔、黄苔,腹力中等度以上、下腹部の両腹直筋の外側(肝経)抵抗と緊張過敏,"肝胆火旺（肝火上炎）・下焦の湿熱。はげしい頭痛、目の充血、目やに、眼痛、口が苦い、急性の難聴や耳鳴、耳痛、胸脇部の脹った痛み、イライラ、怒りっぽい、不眠、尿が濃いなど。黄疸が出るなどの肝胆火旺に、排尿痛、頻尿、濃縮尿、排尿困難、陰部湿疹、黄色の帯下などの下焦の湿熱を伴う。
※コタローの製品のみ一貫堂医学が出典（温清飲がベース）で、一貫堂の解毒体質の中年期以降を治す。荊芥連翹湯証の者がそのまま年齢を重ねた時に用いる。",清肝瀉火・清熱利湿・疏肝解欝
119,苓甘姜味辛夏仁湯,りょうかんきょうみしんげにんとう,金匱要略,裏・寒・虚,太陰病 ／ 虚証,沈やや弱,湿潤して無苔,腹力やや軟、上腹部に振水音,寒痰の喘咳。咳、呼吸困難、白色で薄い多量の痰、喘鳴、くしゃみ、鼻水、冷えなど。小青竜湯から麻黄・桂枝・芍薬を去り、茯苓・杏仁を加えたもの。小青竜湯証だが麻黄で胃痛や動悸が起こるものに用いることも。,温肺去痰・平喘止咳・利水
118,苓姜朮甘湯,りょうきょうじゅつかんとう,金匱要略,裏・寒・虚,太陰病 ／ 虚証,沈弱・沈細微沈遅軟弱・微,湿潤して無苔、または微白苔,やや軟から軟、下腹部および腰部に寒冷感、時に心下悸や上腹部振水音,下焦の寒湿。腰から下が冷えて痛む、ひどければ腰以下を冷たい水につけている感覚、腰以下が重だるい、軽度の浮腫、よだれが多いなどがあり、尿量が多い。,去湿散寒・止痛
39,苓桂朮甘湯,りょうけいじゅつかんとう,傷寒論、金匱要略,裏・寒・虚,少陽病 ／ 虚実中間から虚証,沈緊 浮弱・浮沈・細,淡紅舌で胖大、微白苔,やや軟、胸部から心下部にかけて脹満感(心下逆満・胸脇支満),脾虚の寒飲。疲れやすい、食欲がない、めまい感、立ちくらみなどの脾虚に、悪心、嘔吐、上腹部膨満感、腹鳴、胃部の振水音あるいは多量の白痰、咳嗽あるいは軽度の浮腫などの痰飲や水湿がみられ、四肢の冷え、動悸、耳鳴、肩こりなどを伴うことが多い。飛行機に乗った時の気圧変化による頭痛や耳の痛みにも有効。,温化寒飲・健脾利水
87,六味地黄丸（六味丸）,ろくみじおうがん（ろくみがん）,小児薬証直訣,裏・熱・虚,太陰病または少陽病 ／ 虚実中間から虚証,沈細数,紅舌、褐色苔を認める,腹力やや軟から軟、臍下不仁、しばしば下腹部の腹直筋の緊張(小腹拘急)や臍傍の動悸,肝腎陰虚。頭がボーッとする、頭がふらつく、思考力減退、めまい、耳鳴、難聴、腰や膝がだるく力がない、口渇、体の熱感、手のひらや足のうらのほてり、歯の動揺、寝汗、遺精、性欲の仮亢進、尿が濃い、尿もれ、便が硬いなど。,滋補肝腎・清虚熱・利湿

